Timestamp,Presiune1_Valva1,Presiune2_Valva1,Presiune1_Valva2,Presiune2_Valva2,Presiune1_Valva3,Presiune2_Valva3,Presiune1_Valva4,Presiune2_Valva4,pre_input,ex_0,Label
1778161378338,65534,3906,1434,1029,7,48,8,1,4000,10000,4
1778161378397,65534,3903,1436,1028,6,51,10,3,4000,10000,4
1778161378457,65533,3900,1434,1029,7,45,12,3,4000,10000,4
1778161378537,0,3899,1434,1030,7,48,12,1,4000,10000,4
1778161378577,65534,3896,1436,1029,6,47,12,1,4000,10000,4
1778161378637,65534,3901,1434,1029,6,51,11,3,4000,10000,4
1778161378677,65534,3900,1436,1029,7,48,12,3,4000,10000,4
1778161378737,65534,3900,1434,1029,6,49,10,1,4000,10000,4
1778161378797,65534,3904,1434,1029,9,48,11,1,4000,10000,4
1778161378857,0,3905,1434,1029,5,49,12,1,4000,10000,4
1778161378917,0,3905,1436,1030,6,47,11,4,4000,10000,4
1778161378997,65534,3907,1434,1030,7,48,8,1,4000,10000,4
1778161379057,65533,3908,1434,1029,4,48,7,1,4000,10000,4
1778161379117,0,3910,1436,1029,7,48,12,1,4000,10000,4
1778161379177,65534,3917,1434,1029,7,48,12,1,4000,10000,4
1778161379237,65534,3915,1434,1029,6,47,14,3,4000,10000,4
1778161379317,65534,3914,1433,1030,6,48,12,1,4000,10000,4
1778161379377,65534,3917,1433,1030,7,45,10,1,4000,10000,4
1778161379417,65534,3917,1436,1028,4,47,10,3,4000,10000,4
1778161379477,0,3917,1436,1029,6,49,11,4,4000,10000,4
1778161379557,65534,3918,1434,1029,7,48,7,1,4000,10000,4
1778161379597,65534,3921,1436,1030,6,49,10,3,4000,10000,4
1778161379637,0,3919,1434,1029,9,49,8,1,4000,10000,4
1778161379737,65534,3915,1433,1030,7,47,10,0,4000,10000,4
1778161379797,4074,80,1434,1029,6,48,12,34,4000,10000,4
1778161379857,3570,39,1434,1030,6,48,12,18,4000,10000,4
1778161379897,3492,30,1434,1030,7,48,14,15,4000,10000,4
1778161379957,3415,27,1434,1029,6,48,12,13,4000,10000,4
1778161380037,3422,23,1434,1029,7,49,12,12,4000,10000,4
1778161380097,3430,19,1436,1029,9,49,10,12,4000,10000,4
1778161380157,3556,65530,1434,1029,6,49,12,3,4000,10000,4
1778161380217,3764,65531,1434,1029,6,49,11,1,4000,10000,4
1778161380297,3870,65531,1436,1030,7,48,10,3,4000,10000,4
1778161380337,3888,65532,1436,1029,9,48,12,3,4000,10000,4
1778161380377,3896,65531,1436,1029,6,47,12,3,4000,10000,4
1778161380437,3906,65532,1436,1030,6,49,8,1,4000,10000,4
1778161380497,3916,65531,1434,1030,6,48,10,4,4000,10000,4
